Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,56970.3613028094,50084.4440606385,54117.547718609,57410.1737346009,55194.7585097428,51983.4523666382,60758.9044397144,65169.5191118657,65058.3773146674
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5271.93310547,5418.43652344,5770.69042969,5843.64794922,5543.37841797,5968.00341797,7092.13476563,6723.98242188,6980.38525391
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.055,5.711,5.592,5.345,5.143,6.394,5.022,3.728,3.668
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.8778642539361,87.0166295249235,87.12809266445,87.2267680845925,87.3019647888406,87.2713470458985,87.2353407632761,87.3343268253813,87.4866955653765
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.5605149091408,86.54000092,86.5450488476768,90.0082016,93.60990143,94.6934967,96.97219849,96.11940002,96.1160965
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.2951219512195,81.7926829268293
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.6437976214,52336.7725223758,56579.504175468
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4649.59667969,4758.89892578,4999.86962891,5394.55908203,5313.19287109,5569.84130859,6554.14257813,5897.97607422,6267.93164063
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.5576175537383,67.7218061923556,67.9051196052802,68.1046787227623,68.3176044750522,68.5410177924001,68.773601700253,68.998085127906,69.2265358276021
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.9401419315026,84.3237425711653,87.9355865856062,87.4791372262556,87.7522047870069,87.52942813,92.52915104,93.61409139,95.33467117
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195,81.790243902439,81.7487804878049,82.4
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,40893.804537772,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51658.238294958,50639.0264882739,55244.68145811
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4465.45556641,4569.640625,4827.59326172,5233.68261719,5087.45654297,5269.40625,5847.17333984,5487.59277344,5931.01464844
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.482,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.547
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.2212893480444,86.4507790979645,86.6731739531869,86.8883449485575,87.0961631189222,87.2964994991269,87.4305564090635,87.489200269855,87.551492636772
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.0529417508701,86.5164766644457,87.6796808175598,88.6473429951691,90.275428012141,91.52641629,92.78867618,94.00783071,94.62625074
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.8258536585366,81.94,81.8078048780488,81.8036585365854,82.1585365853659,81.53,81.4514634146342,81.0948780487805,81.6263414634146
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43594.2379080706,42314.1033623905,45129.7335281051,46539.2177903178,46352.9695208927,43537.8981198851,52886.6407813788,56496.9275340663,54847.5370112652
Canada,CAN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4658.83789063,4647.14892578,4894.7734375,5052.90185547,5098.88720703,5646.19433594,6511.46972656,6252.34033203,6186.65234375
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.279,5.415
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.2465670276699,81.3023011093703,81.4018945832226,81.5500341646653,81.7363672047941,81.9509888710566,82.1779279079275,82.3500897353968,82.5250564408346
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,90,91.16000366,92.70140076,94.64,91.91290283,92.3,93.93710327,94,94.14530182
Denmark,DNK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.7024390243902,80.8536585365854,81.1024390243903,80.9536585365854,81.4512195121951,81.6024390243903,81.4048780487805,81.3048780487805,81.7536585365854
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,53094.0133607574,54500.9260410217,57521.5514992225,61324.7665045565,59404.2663247723,60985.4885601514,69340.7334922138,67781.0940939514,68043.5466971243
Denmark,DNK,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,5508.53369141,5603.75830078,5817.42529297,6219.12988281,6049.93408203,6520.65771484,7429.99023438,6451.19433594,6510.625
Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.278,5.989,5.833,5.131,5.018,5.644,5.065,4.434,5.094
